COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Colombia,MAR2015,March 2015,2015,3,March,Electricity trade,127.87,21,415.0,297.511,0.0197104337359017
Switzerland,JAN2013,January 2013,2013,1,January,Solar,19.586,3,499.998,8.065,0.0033359199515468
Estonia,SEP2021,September 2021,2021,9,September,Distribution losses,32.458562,19,420.998151,381.290609,0.0566923435849421
Denmark,JUL2010,July 2010,2010,7,July,Total exports,690.941,16,11734.0,,0.3634291707584431
Sweden,DEC2010,December 2010,2010,12,December,Coal,315.478,8,2550.691,,0.0221182083688937
Latvia,MAY2018,May 2018,2018,5,May,Other renewables,0.0,5,0.0,,0.0
France,APR2020,April 2020,2020,4,April,Total imports,765.471803,15,19536.102,5688.73971,0.0199459797808809
Republic of Turkiye,APR2017,April 2017,2017,4,April,Low carbon,8838.952,26,86330.936,31045.98,0.4083004764147337
Romania,NOV2021,November 2021,2021,11,November,Wind,544.647441,2,6507.78741,6108.046171,0.1280046727478666
Poland,APR2013,April 2013,2013,4,April,Geothermal,0.0,4,0.0,0.0,0.0
Portugal,JUL2016,July 2016,2016,7,July,Geothermal,12.669,4,152.0,108.0,0.0026473025681488
Ireland,FEB2012,February 2012,2012,2,February,Other combustible non-renewables,4.021,12,47.822,,0.001743950279418
Slovenia,MAR2015,March 2015,2015,3,March,Non-renewables,880.908,23,9638.066,2623.436,0.7252127910930287
Lithuania,MAR2020,March 2020,2020,3,March,Nuclear,0.0,6,0.0,0.0,0.0
Colombia,DEC2019,December 2019,2019,12,December,Natural gas,1269.331961,10,12797.429851,11314.011756,0.2002959432251757
Estonia,MAR2021,March 2021,2021,3,March,Other renewables aggregated,120.132972,25,2084.337394,180.382684,0.2845002661537992
Luxembourg,OCT2011,October 2011,2011,10,October,Total imports,620.117,15,7096.34,5996.578,3.05369550551285
Japan,APR2017,April 2017,2017,4,April,Total combustible fuels,58911.678,7,833573.334,296830.336,0.7713759052966443
Italy,APR2022,April 2022,2022,4,April,Others,767.979567,24,10964.194153,4080.019563,0.0359389060914678
Italy,NOV2016,November 2016,2016,11,November,Other renewables aggregated,2269.949,25,24534.343,21988.79,0.0918454500097249
Greece,JUN2018,June 2018,2018,6,June,Net electricity production,4171.528495,14,50083.654,24105.084,1.0
North Macedonia,JUL2022,July 2022,2022,7,July,Solar,3.899938,3,33.816907,14.934731,0.0097166321908431
Belgium,JAN2015,January 2015,2015,1,January,Other renewables aggregated,459.785,25,5396.208,457.825,0.0665667987332495
Estonia,JUL2021,July 2021,2021,7,July,Total combustible fuels,439.60336,7,5582.817304,1927.253272,0.8961414746568787
Norway,OCT2021,October 2021,2021,10,October,Non-renewables,127.620195,23,1528.607343,2167.125155,0.0103170781156269
France,JAN2011,January 2011,2011,1,January,Total exports,5038.243,16,65914.001,2665.266,0.0853330343828965
OECD Europe,AUG2022,August 2022,2022,8,August,Nuclear,46020.70007,6,618549.615382,483335.216445,0.1670201722423729
Japan,OCT2015,October 2015,2015,10,October,Hydro,5450.573,1,90034.674,73648.654,0.0683368527291904
OECD Total,JAN2014,January 2014,2014,1,January,Others,45233.036,24,366371.183,45246.244,0.0463585602794161
Austria,AUG2020,August 2020,2020,8,August,Fossil fuels,708.352954,27,13189.888616,9210.258434,0.1224043883787301
Canada,OCT2017,October 2017,2017,10,October,Total imports,664.487,15,9904.001,7922.414,0.0138675711825189
Ireland,MAR2014,March 2014,2014,3,March,Used for pumped storage,48.249,18,500.73,224.381,0.0214400169213008
Austria,FEB2015,February 2015,2015,2,February,Other renewables aggregated,374.979,25,4409.908,729.472,0.0803065182347767
Portugal,JUN2012,June 2012,2012,6,June,Others,145.279,24,2349.068,1758.764,0.0440250066668282
Malta,MAR2021,March 2021,2021,3,March,Other renewables,0.0,5,0.0,0.0,0.0
OECD Americas,DEC2018,December 2018,2018,12,December,Total exports,6571.215779,16,77647.555999,83263.48,0.0149076241115397
Germany,MAY2016,May 2016,2016,5,May,Total imports,2946.054,15,28338.002,13458.316,0.0632675709840652
Slovak Republic,JUN2020,June 2020,2020,6,June,Electricity trade,80.963091,21,-318.999999,-690.481147,0.0399757559259168
United Kingdom,JAN2017,January 2017,2017,1,January,Total combustible fuels,22884.213,7,189058.169,19697.703,0.6859936062058042
Poland,APR2021,April 2021,2021,4,April,Nuclear,0.0,6,0.0,0.0,0.0
Mexico,APR2019,April 2019,2019,4,April,Net electricity production,27362.640438,14,330690.056998,105276.999903,1.0
Portugal,MAY2019,May 2019,2019,5,May,Combustible renewables,248.411469,11,3267.883294,1299.547712,0.0609291993098984
Romania,NOV2015,November 2015,2015,11,November,Coal,1592.902,8,15731.979,,0.2907201634411412
Netherlands,AUG2018,August 2018,2018,8,August,Other renewables,0.0,5,0.0,,0.0
Republic of Turkiye,JAN2011,January 2011,2011,1,January,Wind,255.785,2,4715.999,240.631,0.013842097966023
Norway,JUL2020,July 2020,2020,7,July,Natural gas,0.0,10,0.0,1180.960327,0.0
OECD Americas,JUN2016,June 2016,2016,6,June,Electricity trade,-339.811,21,-3296.999,-2522.235,-0.0007370102477914
Brazil,JUL2020,July 2020,2020,7,July,Distribution losses,0.0,19,0.0,0.0,0.0
France,AUG2018,August 2018,2018,8,August,Other combustible non-renewables,188.402279,12,2260.827348,1521.544,0.004980107593784
Poland,JAN2018,January 2018,2018,1,January,Not specified,10.162667,13,121.952004,5.144,0.0007311488102272
New Zealand,NOV2017,November 2017,2017,11,November,Total imports,0.0,15,0.0,0.0,0.0
Iceland,DEC2020,December 2020,2020,12,December,Distribution losses,43.551108,19,509.281326,481.676944,0.0266538743238712
Czech Republic,JUN2022,June 2022,2022,6,June,Others,23.585784,24,283.394078,152.286058,0.0039519848047758
Czech Republic,SEP2021,September 2021,2021,9,September,Low carbon,3591.551882,26,40349.411356,29379.567593,0.5749498503575557
IEA Total,MAR2014,March 2014,2014,3,March,Other combustible non-renewables,4033.381,12,47061.634,12175.035,0.0046176078466374
OECD Americas,JUN2015,June 2015,2015,6,June,Others,7392.854,24,95581.414,54286.934,0.0163618416903032
Brazil,OCT2022,October 2022,2022,10,October,Solar,3010.602674,3,27224.347185,10895.377847,0.0555839050831076
Romania,AUG2018,August 2018,2018,8,August,Final consumption,4035.430944,20,50011.554901,32328.761,0.8031122932812367
Ireland,JUL2021,July 2021,2021,7,July,Other renewables aggregated,77.813256,25,930.050686,536.278666,0.0310791541698443
Chile,SEP2015,September 2015,2015,9,September,Coal,2206.096,8,26341.543,19319.616,0.3845062908313184
Mexico,JUL2012,July 2012,2012,7,July,Final consumption,22008.749,20,241415.813,135994.133,0.8546308031652415
Australia,MAR2017,March 2017,2017,3,March,Solar,701.760999,3,8683.883517,1819.139599,0.0333637467711785
OECD Asia Oceania,DEC2017,December 2017,2017,12,December,Used for pumped storage,1225.518075,18,15732.465279,13174.656534,0.0070842243799456
Colombia,MAY2015,May 2015,2015,5,May,Renewables,4314.39,22,49301.099,19486.327,0.6684694394226831
Poland,FEB2015,February 2015,2015,2,February,Used for pumped storage,86.912,18,900.0,144.719,0.0069716098930571
Germany,MAY2013,May 2013,2013,5,May,Electricity supplied,44527.306,17,568732.997,247326.948,1.0058764540007208
Hungary,DEC2018,December 2018,2018,12,December,Renewables,266.712496,22,3536.94958,3274.518,0.0941084463286736
Greece,JUN2010,June 2010,2010,6,June,Distribution losses,315.058,19,3782.997,,0.0741440992397275
OECD Asia Oceania,MAR2010,March 2010,2010,3,March,Natural gas,39079.537,10,461397.073,,0.2475656479437056
Denmark,JAN2013,January 2013,2013,1,January,Fossil fuels,2118.587,27,17470.741,1874.395,0.5921466439786596
United States,OCT2013,October 2013,2013,10,October,Distribution losses,19788.925,19,255321.999,226366.255,0.0623538398115245
Latvia,MAR2016,March 2016,2016,3,March,Solar,0.0,3,0.0,0.031,0.0
Hungary,SEP2012,September 2012,2012,9,September,Final consumption,2932.583,20,36633.908,27153.983,1.237165900833782
Japan,JAN2018,January 2018,2018,1,January,Wind,1037.201427,2,8338.064659,693.043,0.010175799539424
India,OCT2016,October 2016,2016,10,October,Non-renewables,96017.533953,23,1120615.681852,835737.507457,0.8314160072073652
OECD Asia Oceania,JUN2018,June 2018,2018,6,June,Geothermal,775.98287,4,9884.920044,4922.367,0.0051458334372515
Belgium,JUL2013,July 2013,2013,7,July,Other combustible non-renewables,95.768,12,1145.49,715.207,0.0139261921124658
Italy,MAR2010,March 2010,2010,3,March,Fossil fuels,18567.478,27,211961.061,,0.7551183706130641
Switzerland,AUG2015,August 2015,2015,8,August,Natural gas,46.233,10,598.108,313.626,0.0093334628049404
Finland,AUG2011,August 2011,2011,8,August,Solar,0.637,3,5.301,3.983,0.000147664570077
Croatia,APR2015,April 2015,2015,4,April,Hydro,641.261,1,6521.999,,0.5972663599277238
Greece,MAR2018,March 2018,2018,3,March,Fossil fuels,1972.414164,27,34647.967097,9705.153,0.4957837519291992
Netherlands,JUL2015,July 2015,2015,7,July,Electricity supplied,9230.453,17,114650.494,65346.314,1.1417333655262427
Netherlands,FEB2018,February 2018,2018,2,February,Net electricity production,10470.834466,14,110692.105,21619.824,1.0
Switzerland,NOV2017,November 2017,2017,11,November,Nuclear,1252.0,6,19499.0,18943.0,0.2643995880265844
Colombia,APR2019,April 2019,2019,4,April,Geothermal,0.0,4,0.0,0.0,0.0
India,JAN2021,January 2021,2021,1,January,Net electricity production,131205.721547,14,1625370.578035,125531.593102,1.0
Iceland,MAR2013,March 2013,2013,3,March,Others,0.226,24,4.998,0.489,0.0001431702712633
Denmark,APR2014,April 2014,2014,4,April,Combustible renewables,389.233,11,3976.721,1789.584,0.1625707897756153
Netherlands,JUL2018,July 2018,2018,7,July,Fossil fuels,6719.536007,27,88551.61594,54532.009,0.8202941013351555
Latvia,JUN2021,June 2021,2021,6,June,Other renewables aggregated,53.976872,25,747.679638,411.823544,0.1539855274485823
Poland,JUL2013,July 2013,2013,7,July,Not specified,8.833,13,105.996,44.919,0.0007484165520628
Portugal,DEC2012,December 2012,2012,12,December,Other combustible non-renewables,15.24,12,243.614,309.246,0.0040138641607231
Slovenia,MAR2020,March 2020,2020,3,March,Coal,230.077974,8,3927.075789,1063.996837,0.1913627091784664
Cyprus,JUN2021,June 2021,2021,6,June,Electricity trade,0.0,21,0.0,0.0,0.0
OECD Total,FEB2020,February 2020,2020,2,February,Net electricity production,874415.587003,14,10381895.452809,1844874.64788,1.0
Finland,NOV2015,November 2015,2015,11,November,Combustible renewables,987.969,11,10838.875,10057.153,0.1702871634956294
Brazil,JUL2019,July 2019,2019,7,July,Electricity supplied,49336.675462,17,611385.71286,338545.252777,1.0
Portugal,JAN2016,January 2016,2016,1,January,Final consumption,4156.841,20,47355.711,4489.466,0.7249984564633721
IEA Total,SEP2010,September 2010,2010,9,September,Used for pumped storage,7031.944,18,87420.908,,0.0084132422031565
India,DEC2020,December 2020,2020,12,December,Others,517.367953,24,6516.494839,6310.023436,0.004078207876422
Luxembourg,OCT2017,October 2017,2017,10,October,Distribution losses,13.595,19,155.9,131.021,0.0617746757908703
Slovenia,AUG2017,August 2017,2017,8,August,Coal,402.486,8,4346.215,2664.426,0.3065656069410391
Canada,JAN2016,January 2016,2016,1,January,Low carbon,52023.04,26,521212.079,53607.459,0.8139130126775423
OECD Europe,JAN2010,January 2010,2010,1,January,Renewables,82472.558,22,888090.17,,0.2449198976113938
Japan,APR2019,April 2019,2019,4,April,Final consumption,72221.194967,20,954642.12961,340975.315031,0.9482072204178288
Japan,DEC2015,December 2015,2015,12,December,Others,10301.785,24,133416.905,161451.184,0.1156429544569412
Portugal,MAY2016,May 2016,2016,5,May,Wind,951.357,2,12343.098,5616.801,0.1953842141149603
New Zealand,NOV2022,November 2022,2022,11,November,Not specified,3.185667,13,38.228004,35.042337,0.0009585867967151
Slovak Republic,NOV2012,November 2012,2012,11,November,Hydro,294.909,1,4022.999,3355.479,0.1334023017414598
Romania,SEP2020,September 2020,2020,9,September,Non-renewables,2387.201098,23,27312.006456,22024.816723,0.5710908529424685
Greece,JUN2018,June 2018,2018,6,June,Coal,1421.040534,8,16050.251817,8170.923,0.3406522419068361
Australia,JUN2017,June 2017,2017,6,June,Solar,453.094946,3,8683.883517,2949.519425,0.0217288896318371
Italy,JAN2022,January 2022,2022,1,January,Not specified,43.00525,13,516.063,35.486333,0.0017047519160397
Australia,MAY2018,May 2018,2018,5,May,Non-renewables,16576.156278,23,197637.065256,87378.217955,0.807021226913285
Estonia,JAN2019,January 2019,2019,1,January,Fossil fuels,786.15771,27,4660.05014,867.874959,0.7531429672718201
Switzerland,JUL2014,July 2014,2014,7,July,Other combustible non-renewables,106.975,12,1249.156,716.212,0.0154264595903909
Japan,NOV2018,November 2018,2018,11,November,Combustible renewables,1956.868375,11,24468.267842,17786.257,0.0243633903971877
Mexico,JAN2012,January 2012,2012,1,January,Nuclear,507.179,6,8409.0,471.398,0.0229244957792004
Greece,APR2022,April 2022,2022,4,April,Total combustible fuels,1232.861403,7,26791.601629,9170.631461,0.4067609692650266
Hungary,APR2013,April 2013,2013,4,April,Non-renewables,1870.817,23,25443.767,10786.841,0.9067361430524664
Italy,SEP2017,September 2017,2017,9,September,Total imports,3886.989,15,42894.882,36241.0,0.1708989220806868
Chile,APR2021,April 2021,2021,4,April,Oil,244.963441,9,2967.85961,505.161105,0.0351630257987219
Estonia,SEP2012,September 2012,2012,9,September,Distribution losses,69.03,19,879.002,697.674,0.080693805409045
Lithuania,OCT2017,October 2017,2017,10,October,Electricity supplied,1113.33,17,12673.302,10112.406,2.783144095633784
Denmark,JUL2011,July 2011,2011,7,July,Wind,561.259,2,9774.0,4015.485,0.3114931786168981
Japan,JUN2020,June 2020,2020,6,June,Other renewables aggregated,2013.751282,25,29353.894071,10865.900543,0.0272236789304889
OECD Americas,JAN2010,January 2010,2010,1,January,Wind,7720.556,2,104857.722,,0.0171765102028642
Slovenia,MAR2020,March 2020,2020,3,March,Nuclear,517.587276,6,6040.846001,1498.894591,0.4304927657771476
Denmark,FEB2014,February 2014,2014,2,February,Others,77.255,24,963.198,237.286,0.0248404446360812
Korea,JUN2015,June 2015,2015,6,June,Distribution losses,1415.718,19,17979.21,9118.67,0.0336433574736068
Sweden,MAR2014,March 2014,2014,3,March,Others,126.728,24,1375.135,621.064,0.0081215577923036
Denmark,AUG2014,August 2014,2014,8,August,Fossil fuels,1003.414,27,13149.011,11899.787,0.446601708403508
France,NOV2017,November 2017,2017,11,November,Other renewables aggregated,842.688,25,7976.053,6536.423,0.0186205537381211
Switzerland,NOV2013,November 2013,2013,11,November,Wind,7.5,2,90.0,80.663,0.0012514558603175
Spain,FEB2010,February 2010,2010,2,February,Total combustible fuels,10317.544,7,136384.0,,0.4236957147185453
United States,FEB2019,February 2019,2019,2,February,Fossil fuels,195761.179527,27,2610859.56955,422482.988974,0.6138525536273194
Luxembourg,NOV2012,November 2012,2012,11,November,Solar,1.14,3,38.277,25.109,0.003554446956115
Republic of Turkiye,FEB2018,February 2018,2018,2,February,Electricity trade,19.559227,21,634.990001,-72.367,0.0008655785151963
Serbia,JUN2022,June 2022,2022,6,June,Wind,54.437934,2,949.367391,537.746268,0.023343082152883
Mexico,JAN2013,January 2013,2013,1,January,Hydro,1131.215,1,27722.002,2543.365,0.0507989844109989
Netherlands,NOV2013,November 2013,2013,11,November,Total combustible fuels,8751.873,7,88438.33,81738.912,0.9458481128748634
Denmark,JUN2021,June 2021,2021,6,June,Oil,15.348072,9,255.534192,111.686821,0.0082841717973721
France,OCT2016,October 2016,2016,10,October,Solar,622.446,3,8659.763,7137.48,0.0154021493763963
France,JUN2015,June 2015,2015,6,June,Other combustible non-renewables,62.367,12,2122.069,1000.611,0.001550362622576
OECD Americas,JUL2018,July 2018,2018,7,July,Non-renewables,409558.400275,23,4040802.023786,2220552.756,0.7955067241050442
Luxembourg,MAY2010,May 2010,2010,5,May,Other combustible non-renewables,2.669,12,46.077,,0.0077827932908764
Finland,DEC2021,December 2021,2021,12,December,Hydro,1240.993917,1,15548.093003,15669.336405,0.1699329005164686
France,MAR2022,March 2022,2022,3,March,Other combustible non-renewables,175.406445,12,2104.87734,546.33183,0.0040677864082879
Austria,SEP2011,September 2011,2011,9,September,Wind,134.041,2,1838.485,1430.688,0.0274395792301703
Republic of Turkiye,DEC2011,December 2011,2011,12,December,Oil,73.793,9,848.464,2072.51,0.0036839970906642
Finland,MAY2021,May 2021,2021,5,May,Electricity supplied,6527.9445,17,86685.174587,36441.91222,1.266693265575663
New Zealand,AUG2021,August 2021,2021,8,August,Combustible renewables,72.291701,11,743.782104,470.275099,0.0186520033139534
Malta,OCT2020,October 2020,2020,10,October,Total imports,51.810402,15,420.015929,567.311147,0.3504872617945608
Mexico,AUG2014,August 2014,2014,8,August,Final consumption,23316.647,20,248198.736,167102.601,0.8567662593673598
Iceland,MAY2019,May 2019,2019,5,May,Others,0.123,24,2.661,0.779359,7.395196292724368e-05
Denmark,MAY2012,May 2012,2012,5,May,Net electricity production,1947.265,14,29200.388,16916.179,1.0
Finland,AUG2018,August 2018,2018,8,August,Renewables,2047.352461,22,31229.926874,19377.778,0.4587069296465952
Bulgaria,NOV2018,November 2018,2018,11,November,Total imports,154.152521,15,2222.726001,3288.953,0.0382458040023113
Serbia,DEC2019,December 2019,2019,12,December,Total imports,486.775,15,5416.609,6400.007,0.1457625350454502
Austria,FEB2011,February 2011,2011,2,February,Non-renewables,2331.25,23,20283.87,5334.031,0.439527269450154
